Tanggal/Waktu,Isi Dokumen / Abstrak,Hasil Kategori
2026-07-25 01:31:59,"Access to Science, Business, Innovation in Digital Economy BANKING DIGITALIZATION AND FINANCIAL INCLUSION: BIBLIOMETRIC ANALYSIS AND PERSPECTIVES IN E...",ECONOMY
2026-07-25 01:45:26,"Strategy and business model development for business incubators: a systematic literature rAbstract Over the past decades, the business incubation lite...",ECONOMY
2026-07-25 01:53:38,"Jurnal Akuntansi, Manajemen dan Ilmu Ekonomi (JASMIEN) (Online) 2723-813X | (Print) 2723-8121 Eksplorasi Persepsi Mahasiswa terhadap Penggunaan Paylat...",MEDICAL
2026-07-25 01:55:08,Jurnal Penelitian Nusantara Website : https://jurnal.padangtekno.web.id/index.php/menulis Peran Teknologi Finansial (Fintech) Dalam Meningkatkan Efisi...,ECONOMY
2026-07-25 02:12:31,"Sinergi : Jurnal Ilmiah Multidisiplin Peran E-Commerce Dalam Pemberdayaan Umkm Di Sri Hartono1, Nurjannah2, Mahadi3, Syahroni4, Faisal Asmen5 This res...",ECONOMY
2026-07-25 02:44:12,"Phase 3 Trial of Semaglutide in Metabolic Dysfunction– Associated Steatohepatitis Arun J. Sanyal, M.D.,1 Philip N. Newsome, M.B., Ch.B., Ph.D.,2,3 Iri...",MEDICAL
2026-07-25 02:52:41,Therapeutic targeting of chromatin alterations in leukemiaand solid tumors AbstractAlterations in chromatin conformation and post-translational modifi...,MEDICAL
2026-07-25 03:01:26,DNA methyltransferase inhibitors AbstractEpigenetic modifications such as DNA methylation play a fundamental role in onco-genesis and the progression ...,MEDICAL
2026-07-25 03:09:23,Effects of the COVID-19 Pandemic on K-12 Education: A Systematic Literature Review Florida Gulf Coast University The COVID-19 pandemic has had far-rea...,COMPUTER SCIENCE
2026-07-25 03:11:49,Impact of COVID-19 Pandemic on College Student Mental Health and Wellness Objective: To test the impact of the coronavirus disease 2019 (COVID) pandem...,MEDICAL
2026-07-25 03:17:18,"Website : https://gudangjurnal.com/index.php/gjmi Dukungan Sosial Dan Penanganan Stres Dalam Konteks Kesehatan Nadhira Putri Kinaura1*, Anna Dina Kali...",MEDICAL
2026-07-25 03:18:31,Analisis Pengaruh Covid-19 Terhadap Kesehatan Mental Dengan Visualisasi Data Rapidminer Pandemi Covid-19 telah membawa pengaruh yang besar terhadap ke...,MEDICAL
2026-07-25 03:24:11,HUBUNGAN POLA MAKAN DAN AKTIVITAS FISIKDENGANPENYAKIT JANTUNG KORONER Penyakit jantung koroner terjadi karena penyempitan atau penyumbatan pembuluh da...,MEDICAL
2026-07-25 03:28:09,Faktor Risiko Usia dan Gejala Klinis terhadap Status Gizi Anak Penyakit Jantung Bawaan di RSUP H. Adam Malik Medan Tahun 2020-2021 Pendahuluan.Penyaki...,MEDICAL
2026-07-25 03:31:46,Klasifikasi Penyakit Diabetes Melitus Berbasis Jaringan Syaraf Tiruan Menggunakan Algoritma Multi-Layer Perceptron Diabetes Melitus merupakan salah sa...,MEDICAL
2026-07-25 03:38:21,Menjaga Kesehatan Fisik Dan Mental Lanjut UsiaMelalui Program Posyandu Lansia Posyandu lansia adalah pos pelayanan terpadu untuk masyarakat lanjut usi...,MEDICAL
2026-07-25 03:43:26,ANALISIS HUKUM PIDANA TERHADAP KEBOCORAN DATA PRIBADI DALAM SISTEM ELEKTRONIK DI INDONESIA Penelitian  ini  bertujuan  untuk  menganalisis  pengaturan...,COMPUTER SCIENCE
2026-07-25 03:47:07,Development and evaluation of artificialintelligence literacy training for teachereducation students AbstractTeacher education students play double ro...,COMPUTER SCIENCE
2026-07-25 03:55:06,Resistance and Digital Communication: How Gaming Platforms Become Alternative Infrastructures of Communication in Surveillance States This article exa...,MEDICAL
2026-07-25 04:06:00,Sustainable Analysis of the Use of Organic Fertilizer in Rice Fields in Deli Serdang Regency This study aims to analyze the sustainability of organic ...,ECONOMY
2026-07-25 04:25:11,"Dance Video Creation as an Arts-Based Learning Practice:The Role of Self-Efficacy, Emotion, and Narcissistic Tendencies in Elementary Dance Education ...",COMPUTER SCIENCE
2026-07-25 04:26:34,"Poetry Musicalization as an Integrative Learning Model: Linguistic, Musical, and Character Collaboration in Secondary Education Poetry musicalization ...",COMPUTER SCIENCE
2026-07-29 15:54:07,Modem : Jurnal Informatika dan Sains Teknologi Sistem Informasi Cuti Kepegawaian pada Rumah Sakit Umum Daerah Kabupaten Batu Bara Alamat: Jl. Jend. A....,COMPUTER SCIENCE
